"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Symbol"
"ENSMUSG00000037995",52.2722584493439,-1.62206961378893,0.731433088824174,7.10258091983965e-05,0.000625461209136986,"Igsf9"
"ENSMUSG00000027016",89.404963001088,-1.3423709609932,0.539608917624396,7.17285177921934e-05,0.000630320949725931,"Zfp385b"
"ENSMUSG00000024177",134.334703009392,-1.06379385197441,0.378622881882842,7.51943342398026e-05,0.000656687765858515,"Nme4"
"ENSMUSG00000038233",233.077897194323,-1.21372981435987,0.464158316692986,7.60026194770915e-05,0.000662999886190035,"Fam198a"
"ENSMUSG00000039055",166.59429177494,-1.04464013225717,0.369271227649563,7.68195167705491e-05,0.000668034028773651,"Eme1"
"ENSMUSG00000015396",58.0448664661843,-2.0967927677135,1.08533318203244,7.71425085286659e-05,0.000670145471698608,"Cd83"
"ENSMUSG00000059060",157.569581419256,-1.11984489002609,0.413040266504533,8.08160931177893e-05,0.00069621980548568,"Rad51b"
"ENSMUSG00000046761",61.4242549848929,-1.74234362059018,0.845265026712825,8.40717792909237e-05,0.000719864610178534,"Fam83h"
"ENSMUSG00000098934",108.256060532043,-2.33302426855843,1.27948012788693,9.10897178304526e-05,0.000769314574946026,"Gm18853"
"ENSMUSG00000028545",84.1696212033193,-1.34160537264004,0.568828936213772,0.000101385928159307,0.000842925950183851,"Bend5"
"ENSMUSG00000031461",622.959800020991,-1.00620009614424,0.360943841704382,0.000103019918369964,0.000854519049249283,"Myom2"
"ENSMUSG00000069917",4769.85958971551,-1.20861531921471,0.482679081338176,0.000105608976495873,0.000871659173792652,"Hba-a2"
"ENSMUSG00000022286",28.7083903297238,-1.83223387990449,0.9637895332088,0.000110177783803591,0.000904919645451217,"Grhl2"
"ENSMUSG00000005410",235.175176582691,-1.0746453921098,0.404251622798276,0.000112922809476023,0.000922929993927753,"Mcm5"
"ENSMUSG00000049382",96.095328200489,-5.1823287203109,3.16367895582621,0.00011779690693513,0.000957149976914809,"Krt8"
"ENSMUSG00000030017",30.4803222265213,-4.31791478716492,2.56213322982718,0.000127504623729555,0.00102211620192603,"Reg3g"
"ENSMUSG00000028644",50.3644609660738,-1.64653926010426,0.840418861189161,0.000128553694462176,0.00103003185486136,"Ermap"
"ENSMUSG00000058503",91.021478234551,-1.4024173322449,0.640838972157989,0.000130592443996346,0.00104236967953913,"Fam133b"
"ENSMUSG00000021732",27.210863815349,-2.40271836591078,1.42922462251506,0.000131763630562166,0.00105021331483836,"Fgf10"
"ENSMUSG00000005628",135.951383385558,-1.85125226527239,1.02554494277259,0.000137114682260235,0.0010845881681484,"Tmod4"
"ENSMUSG00000054662",14.4541214781895,-5.01416237510604,3.20655766462563,0.000137713327281366,0.00108813978568158,"Ano9"
"ENSMUSG00000043795",37.4095965035984,-4.11850041664151,2.5143361405566,0.000142328591400409,0.00111789477286957,"Prr33"
"ENSMUSG00000044393",29.1258059980925,-2.30419819823686,1.39283969019355,0.000146296180792322,0.00114154732295186,"Dsg2"
"ENSMUSG00000040434",43.5425624537683,-3.03637059529619,1.88606979140857,0.000151970047941252,0.00117921419744201,"Gyltl1b"
"ENSMUSG00000050711",32.142878954707,-4.13559439985071,2.59460288266764,0.000155484732494502,0.00120425014778179,"Scg2"
"ENSMUSG00000020491",82.273061357914,-1.3525236598202,0.621892167014138,0.000155646772026087,0.00120471641770238,"2810021J22Rik"
"ENSMUSG00000021416",15.1472593248734,-3.58017488584761,2.23199142106025,0.000155884138555104,0.00120566751124943,"Eci3"
"ENSMUSG00000071341",82.7512711183464,-1.18342790181282,0.495445432040251,0.000157350482215785,0.00121476025854717,"Egr4"
"ENSMUSG00000079598",26.6864261296171,-2.22416666356995,1.35843744350445,0.000158359822546598,0.00122142412277058,"Clec2l"
"ENSMUSG00000079465",116.276220264215,-1.29758043354493,0.580382904131089,0.000158458031035677,0.001221617864728,"Col4a3"
"ENSMUSG00000037600",15.2096389639105,-4.53740376756184,2.93222960704116,0.00015958431901961,0.00122973365979426,"Kdf1"
"ENSMUSG00000075296",20.4490690944052,-3.3232704275363,2.09329773172015,0.000161773270867726,0.00124316250541755,"Aldh3b2"
"ENSMUSG00000026579",11.5237045568145,-4.65441379406529,3.09060188198973,0.000166295147880973,0.00127381168729724,"F5"
"ENSMUSG00000056643",25.3987574595428,-3.9515973783654,2.55990416392868,0.000175458927339882,0.00133665474546891,"Chst13"
"ENSMUSG00000028860",61.7009444115487,-1.21565970879165,0.531488232006663,0.000182384773716303,0.00137873320121858,"Sytl1"
"ENSMUSG00000020137",37.1920980288378,-4.15098867951043,2.77444136638052,0.000188258195824303,0.0014180024718375,"Thap2"
"ENSMUSG00000026343",32.0892755549004,-3.82070021173055,2.58247272826368,0.000203630447253577,0.0015180549934863,"Gpr39"
"ENSMUSG00000027068",50.1160303453448,-1.62867494907643,0.922821812520571,0.000210812713001748,0.00156184560510249,"Dhrs9"
"ENSMUSG00000040703",163.426740848436,-1.05986100740386,0.431849214280876,0.000212380646802762,0.00157276478983667,"Cyp2s1"
"ENSMUSG00000051920",20.716139482923,-3.9616143767115,2.75486414484041,0.00021758893921449,0.00160422652405425,"Rspo2"
"ENSMUSG00000047875",63.3366642529553,-1.24951376736404,0.577456563776659,0.000220269044816089,0.00161472667327023,"Gpr157"
"ENSMUSG00000016756",68.1080586675348,-4.6736131396273,3.7370757840481,0.000227292699882845,0.00166402548657112,"Cmah"
"ENSMUSG00000028825",14.2994347995897,-3.29479610400167,2.34196878146895,0.000252147010022523,0.00182046873672416,"Rhd"
"ENSMUSG00000027849",20.7005074617541,-3.46601574159369,2.47930073397128,0.000253350231439556,0.00182757693926661,"Syt6"
"ENSMUSG00000029337",51.7057326512862,-1.26782064365934,0.610830942857499,0.000255225688353412,0.00183951796254374,"Fgf5"
"ENSMUSG00000029026",12.1956333377598,-4.28651346432065,3.34208353212563,0.000260958912158869,0.001872763957846,"Trp73"
"ENSMUSG00000062345",14.2733187938345,-4.05981310841972,3.05838925570707,0.000261953029743979,0.00187828525917669,"Serpinb2"
"ENSMUSG00000047343",15.6717375411928,-2.52320892775856,1.77848959932986,0.000263648051146405,0.00188800922316239,"Mettl21c"
"ENSMUSG00000054065",81.2419954536367,-1.85329647359973,1.20524478119359,0.000268013068199451,0.00190782385940614,"Pkp3"
"ENSMUSG00000059775",121.459894724733,-1.00000737590071,0.406345778382834,0.000269372566245584,0.00191586939243774,"Rps26-ps1"
"ENSMUSG00000000296",24.2739166377286,-3.72510587525584,2.77683477291467,0.000275730185054677,0.00195526275477466,"Tpd52l1"
"ENSMUSG00000079355",55.1154262418534,-1.34318643007769,0.693450579777369,0.000277070561382781,0.00196310189188292,"Ackr4"
"ENSMUSG00000028236",13.5301482746734,-4.33915304256729,3.67870616757811,0.000285193412860905,0.00201042712043744,"Sdr16c5"
"ENSMUSG00000038763",61.6257404181644,-1.53818154331718,0.904606631643928,0.000289594998870232,0.00203715943228833,"Alpk3"
"ENSMUSG00000026090",53.6653037840921,-1.28987329225266,0.654946820649979,0.000302310879101693,0.00211769657724463,"2010300C02Rik"
"ENSMUSG00000076498",8.50973924044399,-3.70954191929227,2.92857257257073,0.00032082284005353,0.0022286919986096,"Trbc2"
"ENSMUSG00000071537",62.4539350371382,-1.30573163406802,0.680579553704931,0.000321867489236126,0.0022350200311976,"Klrg2"
"ENSMUSG00000034226",26.5658021791225,-1.54490401591573,0.938977970462179,0.000322895879843978,0.00224122995669113,"Rhov"
