V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
GO:0090189,GO:0045616,GO:0010837,GO:0071345,GO:0050701,GO:0060193,GO:0072074,GO:0035356,GO:0033692,NA,NA
GO:0051148,GO:0003333,GO:0046683,GO:0040017,GO:0051770,GO:0090128,GO:0051302,GO:0015014,GO:0051290,NA,NA
GO:0071459,GO:0032147,GO:0010811,GO:0042149,GO:0010873,GO:0014911,GO:1903076,GO:0070163,NA,NA,NA
GO:1903543,GO:0052652,GO:0034308,GO:2000779,GO:0001881,GO:0051988,GO:0019062,GO:0086073,NA,NA,NA
GO:0051271,GO:2000279,GO:0051250,GO:0030326,GO:0032611,GO:0010517,GO:0070670,GO:0003211,NA,NA,NA
GO:0051260,GO:0007257,GO:0045892,GO:0086091,GO:2000586,GO:0009650,GO:0045684,GO:0022618,NA,NA,NA
GO:0006936,GO:0071219,GO:0017158,GO:0051881,GO:0099637,GO:0044772,GO:0007218,GO:0043568,NA,NA,NA
GO:0060349,GO:0022408,GO:0001508,GO:0010631,GO:0032375,GO:0007409,GO:0048812,GO:0010838,NA,NA,NA
GO:0055023,GO:0045214,GO:0044319,GO:0023056,GO:0034379,GO:0051984,GO:0050930,GO:0086042,NA,NA,NA
GO:1903541,GO:0007190,GO:0008209,GO:0007215,GO:0045940,GO:0071731,GO:0010921,GO:0003357,NA,NA,NA
GO:0045621,GO:0071377,GO:0055002,GO:0099003,GO:0010826,GO:0098911,NA,GO:0034033,NA,NA,NA
GO:1902117,GO:0019935,GO:0048523,GO:0006614,GO:0010755,GO:0021510,NA,GO:0015937,NA,NA,NA
GO:0051155,GO:0045762,GO:0019216,GO:0048545,GO:0007252,GO:0061564,NA,GO:0021955,NA,NA,NA
GO:0071173,GO:0070527,GO:0035108,GO:0086010,GO:1900225,GO:0048667,NA,GO:0042148,NA,NA,NA
GO:0007094,GO:0071222,GO:0051294,GO:0000077,GO:0060294,GO:1901881,NA,GO:0071637,NA,NA,NA
GO:0071174,GO:1902930,GO:0045124,GO:0006613,GO:0032103,GO:2001212,NA,GO:0034030,NA,NA,NA
GO:0031325,GO:0033762,GO:0019433,GO:0045600,GO:0031325,GO:0033169,NA,GO:0030318,NA,NA,NA
GO:0010243,GO:0002793,GO:0010629,GO:0043588,GO:0001325,GO:0071675,NA,GO:0033689,NA,NA,NA
GO:0007026,GO:0051881,GO:0043069,GO:0010718,GO:2000353,GO:0030497,NA,GO:0044320,NA,NA,NA
GO:0009948,GO:0043297,GO:0007411,GO:0098916,GO:0010872,GO:0032695,NA,GO:0007162,NA,NA,NA
GO:1905332,GO:1905039,GO:0000902,GO:0045047,GO:0090737,GO:0045666,NA,GO:0048812,NA,NA,NA
GO:0048667,GO:0048259,GO:0048841,GO:0034612,GO:0090656,GO:0006024,NA,GO:0086069,NA,NA,NA
GO:0071417,GO:0055008,GO:0030261,GO:0002548,GO:0045717,GO:0071560,NA,GO:0000730,NA,NA,NA
GO:0045944,GO:0048738,GO:0019228,GO:0006661,GO:0050922,GO:0043243,NA,GO:0033210,NA,NA,NA
GO:0006111,GO:0030855,GO:0006941,GO:0070372,GO:0000183,GO:0071622,NA,GO:0044321,NA,NA,NA
GO:0002009,GO:0010976,GO:0031532,GO:0045837,GO:0000022,GO:2000310,NA,GO:0090735,NA,NA,NA
GO:0030858,GO:0001837,GO:0002690,GO:0035137,GO:1903587,GO:0010224,NA,GO:1904292,NA,NA,NA
GO:0016570,GO:0034109,GO:0030335,GO:0002693,GO:2000050,GO:0042761,NA,GO:0045003,NA,NA,NA
GO:0019216,GO:0030278,GO:0051896,GO:0001771,GO:0051769,GO:0042063,NA,GO:0045667,NA,NA,NA
GO:0010558,GO:0019216,GO:1901570,GO:0042797,GO:0071675,GO:0030950,NA,GO:0045216,NA,NA,NA
GO:1901880,GO:0071248,GO:0051785,GO:0061668,GO:0032732,GO:0090266,NA,GO:0021954,NA,NA,NA
GO:0055002,GO:0071560,GO:0010906,GO:1900038,GO:0048713,GO:0043244,NA,GO:0045721,NA,NA,NA
GO:0043009,GO:0071396,GO:0006355,GO:0006586,GO:0034501,GO:0061912,NA,GO:1902287,NA,NA,NA
GO:0048015,GO:0048762,GO:0051302,GO:0002922,GO:0009892,GO:0010758,NA,GO:1903818,NA,NA,NA
GO:0051726,GO:0050679,GO:0035065,GO:0042791,GO:0040037,GO:0051057,NA,GO:0000463,NA,NA,NA
GO:0072666,GO:0044267,GO:0098655,GO:0045026,GO:0032695,GO:0032793,NA,GO:0002065,NA,NA,NA
GO:0007498,GO:0016055,GO:0008285,GO:0032471,GO:0045414,GO:0033674,NA,GO:0048557,NA,NA,NA
GO:0006886,GO:0051050,GO:1900180,GO:0010665,GO:0033700,GO:0085029,NA,GO:0043300,NA,NA,NA
GO:0045893,GO:0051094,GO:0034502,GO:0051029,GO:0045922,GO:0050775,NA,GO:0033006,NA,NA,NA
GO:0006367,GO:0048145,GO:0014070,GO:0002579,GO:0120031,GO:0010971,NA,GO:1905330,NA,NA,NA
GO:0030335,GO:0090307,GO:0001755,GO:2000508,GO:2001026,GO:0036149,NA,GO:0042634,NA,NA,NA
GO:0051246,GO:0030239,GO:0042981,GO:0045738,GO:0071622,GO:0035601,NA,GO:0009214,NA,NA,NA
GO:0031114,GO:0010862,GO:0030336,GO:0031622,GO:0034724,NA,NA,GO:0048732,NA,NA,NA
GO:0070207,GO:0000187,GO:0030199,GO:0006384,GO:0051917,NA,NA,GO:0075522,NA,NA,NA
GO:0001655,GO:0010632,GO:0045616,GO:0003176,GO:0030277,NA,NA,GO:0044819,NA,NA,NA
GO:0006334,GO:0006865,GO:0031058,GO:0034350,GO:0010762,NA,NA,GO:0031571,NA,NA,NA
GO:0007517,GO:0045837,GO:0060538,GO:0002606,GO:0051895,NA,NA,GO:0030878,NA,NA,NA
GO:0032092,GO:0003198,GO:0014706,GO:0003180,GO:0090051,NA,NA,GO:0030832,NA,NA,NA
