V1,V1,V10,V10,V11,V11,V2,V2,V3,V3,V4,V4,V5,V5,V6,V6,V7,V7,V8,V8,V9,V9
GO:2000739,0.00125907450985366,GO:0006853,0.014753702756032,GO:0010939,0.0313950757631916,GO:0060428,0.000976290226283226,GO:0051310,0.000910770183411711,GO:0046602,0.00313495271554656,GO:0032760,0.00877270822437544,GO:0021795,0.0184585889770285,GO:0045606,0.00314274986297208,GO:0010604,0.000161679078441008,GO:0046598,0.0210078957630912
GO:0072175,0.00125907450985366,GO:0090312,0.014753702756032,GO:0006493,0.0323381636033815,GO:0006936,0.00142266290244971,GO:0000096,0.00126249902489491,GO:0071456,0.0036828378391208,GO:0018149,0.00877270822437544,GO:0050872,0.0184585889770285,GO:0046683,0.00352422632348146,GO:0016032,0.000329273577587515,GO:0009249,0.0210078957630912
GO:0010564,0.00152998905936922,GO:1902001,0.014753702756032,GO:0019585,0.033769693865094,GO:0048878,0.00152460691573254,GO:0034394,0.00126249902489491,GO:0050804,0.00379912671562863,GO:0006612,0.0144583495977944,GO:1903209,0.0184585889770285,GO:0001656,0.0057346613696213,GO:1904666,0.000461680692095505,GO:0060192,0.0210078957630912
GO:0015671,0.00175192725957889,GO:0035914,0.0160845107297618,GO:0008210,0.033769693865094,GO:0043029,0.00155675886703921,GO:0007088,0.001449559549335,GO:0043547,0.00388230167992428,GO:1903726,0.0178676130920248,GO:1903504,0.0184585889770285,GO:0000070,0.00785392176269747,GO:0002934,0.000480106305373381,GO:0006614,0.0232959611347379
GO:0030540,0.00175192725957889,GO:0048741,0.0160845107297618,GO:0042573,0.0361386092201723,GO:1904953,0.00155675886703921,GO:0010838,0.0019622536351337,GO:0090630,0.0041414744602511,GO:1903209,0.0178676130920248,GO:1901879,0.0184585889770285,GO:0008213,0.00902709935692112,GO:0043043,0.000834216875009171,GO:0090257,0.0236032527677602
GO:0042421,0.00175192725957889,GO:0048641,0.0160845107297618,GO:0019218,0.0385018352066203,GO:0036211,0.00164300960593467,GO:0035999,0.0019622536351337,GO:0007088,0.0041414744602511,GO:1903504,0.0178676130920248,GO:0010310,0.0184585889770285,GO:0000819,0.0109226594375045,GO:0000956,0.000834216875009171,GO:0046323,0.0236032527677602
GO:0030855,0.00203493169898711,GO:0014904,0.0187409364492419,GO:0060544,0.0385018352066203,GO:0050730,0.0017162483931174,GO:0002315,0.0019622536351337,GO:0005513,0.00440096321329775,GO:0070601,0.0178676130920248,GO:0035973,0.0184585889770285,GO:0043043,0.0109821080657948,GO:0031397,0.00121485661911063,GO:0090527,0.0236032527677602
GO:0060192,0.00232163116765276,GO:0032365,0.0200665584643781,GO:0035567,0.0387502305620584,GO:0001501,0.0018825807272038,GO:1900026,0.00231277348918414,GO:0060307,0.00510844735642599,GO:0048715,0.0178676130920248,GO:0086073,0.0184585889770285,GO:0000956,0.0109821080657948,GO:0002181,0.00151896836215213,GO:0035235,0.0236032527677602
GO:0042415,0.00232163116765276,GO:0000956,0.0229057953461065,GO:0052695,0.0408593851672061,GO:0090136,0.0018952501590271,GO:0048634,0.00259940093091906,GO:0015749,0.00510844735642599,GO:1902043,0.0178676130920248,GO:0042159,0.0184585889770285,GO:0061564,0.0113929073256884,GO:0016072,0.00154932862386757,GO:0048011,0.0236032527677602
GO:0051983,0.00242039838739614,GO:0043043,0.0229057953461065,GO:0019068,0.0408593851672061,GO:1904948,0.0018952501590271,GO:0051382,0.00259940093091906,GO:0098781,0.00510844735642599,GO:0072423,0.0178676130920248,GO:0045598,0.0210293985683685,GO:0043588,0.0113929073256884,GO:0050770,0.0016017625865331,GO:0030311,0.0236032527677602
