cluster	gene
3	ENSMUSG00000039883
3	ENSMUSG00000040204
3	ENSMUSG00000040310
3	ENSMUSG00000040387
3	ENSMUSG00000040434
3	ENSMUSG00000040728
3	ENSMUSG00000040797
3	ENSMUSG00000040952
3	ENSMUSG00000041193
3	ENSMUSG00000041219
3	ENSMUSG00000041220
3	ENSMUSG00000041347
3	ENSMUSG00000041841
3	ENSMUSG00000042045
3	ENSMUSG00000042367
3	ENSMUSG00000043165
3	ENSMUSG00000043430
3	ENSMUSG00000043531
3	ENSMUSG00000043613
3	ENSMUSG00000044393
3	ENSMUSG00000045007
3	ENSMUSG00000046330
3	ENSMUSG00000046761
3	ENSMUSG00000046844
3	ENSMUSG00000047501
3	ENSMUSG00000047675
3	ENSMUSG00000048373
3	ENSMUSG00000048922
3	ENSMUSG00000049517
3	ENSMUSG00000049641
3	ENSMUSG00000049882
3	ENSMUSG00000050069
3	ENSMUSG00000050578
3	ENSMUSG00000051118
3	ENSMUSG00000051920
3	ENSMUSG00000052316
3	ENSMUSG00000052369
3	ENSMUSG00000053522
3	ENSMUSG00000054752
3	ENSMUSG00000055937
3	ENSMUSG00000057278
3	ENSMUSG00000058447
3	ENSMUSG00000058558
3	ENSMUSG00000058665
3	ENSMUSG00000058914
3	ENSMUSG00000059291
3	ENSMUSG00000060636
3	ENSMUSG00000060913
3	ENSMUSG00000061048
3	ENSMUSG00000061477
3	ENSMUSG00000062248
3	ENSMUSG00000062997
3	ENSMUSG00000063632
3	ENSMUSG00000063903
3	ENSMUSG00000067038
3	ENSMUSG00000068220
3	ENSMUSG00000068252
3	ENSMUSG00000069272
3	ENSMUSG00000070564
3	ENSMUSG00000070990
3	ENSMUSG00000071415
3	ENSMUSG00000073234
3	ENSMUSG00000073565
3	ENSMUSG00000074129
3	ENSMUSG00000074476
3	ENSMUSG00000076498
3	ENSMUSG00000078886
3	ENSMUSG00000079523
3	ENSMUSG00000079598
3	ENSMUSG00000079641
3	ENSMUSG00000081683
3	ENSMUSG00000090451
3	ENSMUSG00000094777
3	ENSMUSG00000095432
3	ENSMUSG00000102422
4	ENSMUSG00000000037
4	ENSMUSG00000001027
4	ENSMUSG00000001985
4	ENSMUSG00000002032
4	ENSMUSG00000003226
4	ENSMUSG00000003660
4	ENSMUSG00000004098
4	ENSMUSG00000004508
4	ENSMUSG00000004677
4	ENSMUSG00000004815
4	ENSMUSG00000007817
4	ENSMUSG00000009394
4	ENSMUSG00000010122
4	ENSMUSG00000015709
4	ENSMUSG00000015750
4	ENSMUSG00000016128
4	ENSMUSG00000017453
4	ENSMUSG00000018927
4	ENSMUSG00000019232
4	ENSMUSG00000019464
4	ENSMUSG00000019820
4	ENSMUSG00000020576
4	ENSMUSG00000020741
4	ENSMUSG00000020747
4	ENSMUSG00000021032
4	ENSMUSG00000021364
4	ENSMUSG00000022801
4	ENSMUSG00000022893
4	ENSMUSG00000023977
4	ENSMUSG00000024066
4	ENSMUSG00000024251
4	ENSMUSG00000024261
4	ENSMUSG00000024451
4	ENSMUSG00000024542
4	ENSMUSG00000024978
4	ENSMUSG00000025241
4	ENSMUSG00000025266
4	ENSMUSG00000025324
4	ENSMUSG00000026692
4	ENSMUSG00000026764
4	ENSMUSG00000026822
4	ENSMUSG00000026924
4	ENSMUSG00000026944
4	ENSMUSG00000027580
4	ENSMUSG00000027650
4	ENSMUSG00000027684
4	ENSMUSG00000027878
4	ENSMUSG00000027983
4	ENSMUSG00000027993
4	ENSMUSG00000028246
4	ENSMUSG00000028532
4	ENSMUSG00000028909
4	ENSMUSG00000029174
4	ENSMUSG00000029313
4	ENSMUSG00000029547
4	ENSMUSG00000029577
4	ENSMUSG00000029587
4	ENSMUSG00000029720
4	ENSMUSG00000030306
4	ENSMUSG00000030515
4	ENSMUSG00000030816
4	ENSMUSG00000030921
4	ENSMUSG00000031385
4	ENSMUSG00000031870
4	ENSMUSG00000032198
4	ENSMUSG00000032356
4	ENSMUSG00000033209
4	ENSMUSG00000033396
4	ENSMUSG00000033792
4	ENSMUSG00000033902
4	ENSMUSG00000033981
4	ENSMUSG00000034126
4	ENSMUSG00000034354
4	ENSMUSG00000034525
4	ENSMUSG00000034573
4	ENSMUSG00000034684
4	ENSMUSG00000035164
4	ENSMUSG00000035403
4	ENSMUSG00000035969
4	ENSMUSG00000036298
4	ENSMUSG00000036529
4	ENSMUSG00000036553
4	ENSMUSG00000036568
4	ENSMUSG00000036905
4	ENSMUSG00000037110
4	ENSMUSG00000037415
4	ENSMUSG00000037486
4	ENSMUSG00000038077
4	ENSMUSG00000038170
4	ENSMUSG00000038473
4	ENSMUSG00000038718
4	ENSMUSG00000038766
4	ENSMUSG00000038970
4	ENSMUSG00000039414
4	ENSMUSG00000039473
4	ENSMUSG00000039512
4	ENSMUSG00000039523
4	ENSMUSG00000039620
4	ENSMUSG00000039662
4	ENSMUSG00000039959
4	ENSMUSG00000040102
4	ENSMUSG00000040433
4	ENSMUSG00000040506
4	ENSMUSG00000040543
4	ENSMUSG00000040648
4	ENSMUSG00000041037
4	ENSMUSG00000041341
4	ENSMUSG00000041479
4	ENSMUSG00000041528
4	ENSMUSG00000041949
4	ENSMUSG00000042029
4	ENSMUSG00000042046
4	ENSMUSG00000042129
4	ENSMUSG00000042190
4	ENSMUSG00000043940
4	ENSMUSG00000044139
4	ENSMUSG00000044447
4	ENSMUSG00000045790
4	ENSMUSG00000047036
4	ENSMUSG00000047040
4	ENSMUSG00000047419
4	ENSMUSG00000047953
4	ENSMUSG00000048232
4	ENSMUSG00000049516
4	ENSMUSG00000049739
4	ENSMUSG00000051067
4	ENSMUSG00000051339
4	ENSMUSG00000051341
4	ENSMUSG00000051648
4	ENSMUSG00000051910
4	ENSMUSG00000052496
4	ENSMUSG00000052504
4	ENSMUSG00000052934
4	ENSMUSG00000053469
4	ENSMUSG00000053646
4	ENSMUSG00000054008
4	ENSMUSG00000054203
4	ENSMUSG00000054293
4	ENSMUSG00000058230
4	ENSMUSG00000058325
4	ENSMUSG00000058498
4	ENSMUSG00000068299
4	ENSMUSG00000070733
4	ENSMUSG00000073490
4	ENSMUSG00000073700
4	ENSMUSG00000074283
4	ENSMUSG00000078651
4	ENSMUSG00000081406
4	ENSMUSG00000085584
4	ENSMUSG00000093909
4	ENSMUSG00000096544
4	ENSMUSG00000096795
4	ENSMUSG00000101439
4	ENSMUSG00000102752
4	ENSMUSG00000104346
5	ENSMUSG00000000889
5	ENSMUSG00000003283
5	ENSMUSG00000003435
5	ENSMUSG00000009216
5	ENSMUSG00000013483
5	ENSMUSG00000019731
5	ENSMUSG00000020357
5	ENSMUSG00000022129
5	ENSMUSG00000022148
5	ENSMUSG00000022376
5	ENSMUSG00000024163
5	ENSMUSG00000024228
5	ENSMUSG00000025092
5	ENSMUSG00000025359
5	ENSMUSG00000025885
5	ENSMUSG00000026407
5	ENSMUSG00000026828
5	ENSMUSG00000027668
5	ENSMUSG00000027678
5	ENSMUSG00000027875
5	ENSMUSG00000029009
5	ENSMUSG00000029419
5	ENSMUSG00000030068
5	ENSMUSG00000030393
5	ENSMUSG00000030739
5	ENSMUSG00000032373
5	ENSMUSG00000032548
5	ENSMUSG00000034055
5	ENSMUSG00000034235
5	ENSMUSG00000034832
5	ENSMUSG00000036040
5	ENSMUSG00000036281
5	ENSMUSG00000036523
5	ENSMUSG00000037490
5	ENSMUSG00000037816
5	ENSMUSG00000038024
5	ENSMUSG00000038670
5	ENSMUSG00000040054
5	ENSMUSG00000040152
5	ENSMUSG00000041229
5	ENSMUSG00000041797
5	ENSMUSG00000041828
5	ENSMUSG00000042453
5	ENSMUSG00000046410
5	ENSMUSG00000047746
5	ENSMUSG00000048899
5	ENSMUSG00000049985
5	ENSMUSG00000050271
