cluster	gene
5	ENSMUSG00000015879
5	ENSMUSG00000016128
5	ENSMUSG00000018166
5	ENSMUSG00000019820
5	ENSMUSG00000020576
5	ENSMUSG00000020741
5	ENSMUSG00000020747
5	ENSMUSG00000021032
5	ENSMUSG00000021275
5	ENSMUSG00000021676
5	ENSMUSG00000021911
5	ENSMUSG00000022195
5	ENSMUSG00000022801
5	ENSMUSG00000022893
5	ENSMUSG00000023977
5	ENSMUSG00000024066
5	ENSMUSG00000024201
5	ENSMUSG00000024251
5	ENSMUSG00000024451
5	ENSMUSG00000024542
5	ENSMUSG00000024620
5	ENSMUSG00000024978
5	ENSMUSG00000025092
5	ENSMUSG00000025241
5	ENSMUSG00000025266
5	ENSMUSG00000025324
5	ENSMUSG00000025658
5	ENSMUSG00000025812
5	ENSMUSG00000026822
5	ENSMUSG00000026924
5	ENSMUSG00000026944
5	ENSMUSG00000027177
5	ENSMUSG00000027580
5	ENSMUSG00000027650
5	ENSMUSG00000027875
5	ENSMUSG00000027878
5	ENSMUSG00000027993
5	ENSMUSG00000028246
5	ENSMUSG00000028532
5	ENSMUSG00000029174
5	ENSMUSG00000029313
5	ENSMUSG00000029577
5	ENSMUSG00000029587
5	ENSMUSG00000029603
5	ENSMUSG00000029708
5	ENSMUSG00000029720
5	ENSMUSG00000029765
5	ENSMUSG00000030064
5	ENSMUSG00000030084
5	ENSMUSG00000030306
5	ENSMUSG00000030515
5	ENSMUSG00000030816
5	ENSMUSG00000031166
5	ENSMUSG00000031385
5	ENSMUSG00000032186
5	ENSMUSG00000032198
5	ENSMUSG00000033209
5	ENSMUSG00000033365
5	ENSMUSG00000033396
5	ENSMUSG00000033478
5	ENSMUSG00000033792
5	ENSMUSG00000034055
5	ENSMUSG00000034235
5	ENSMUSG00000034354
5	ENSMUSG00000034525
5	ENSMUSG00000034573
5	ENSMUSG00000034684
5	ENSMUSG00000035112
5	ENSMUSG00000035181
5	ENSMUSG00000035547
5	ENSMUSG00000035969
5	ENSMUSG00000036270
5	ENSMUSG00000036529
5	ENSMUSG00000036568
5	ENSMUSG00000037110
5	ENSMUSG00000037415
5	ENSMUSG00000037486
5	ENSMUSG00000037490
5	ENSMUSG00000038077
5	ENSMUSG00000038170
5	ENSMUSG00000038250
5	ENSMUSG00000038718
5	ENSMUSG00000038766
5	ENSMUSG00000038970
5	ENSMUSG00000039414
5	ENSMUSG00000039456
5	ENSMUSG00000039512
5	ENSMUSG00000039523
5	ENSMUSG00000039662
5	ENSMUSG00000039959
5	ENSMUSG00000040102
5	ENSMUSG00000040433
5	ENSMUSG00000040506
5	ENSMUSG00000040648
5	ENSMUSG00000041341
5	ENSMUSG00000041528
5	ENSMUSG00000041828
5	ENSMUSG00000041949
5	ENSMUSG00000042029
5	ENSMUSG00000042046
5	ENSMUSG00000042129
5	ENSMUSG00000043940
5	ENSMUSG00000044447
5	ENSMUSG00000045466
5	ENSMUSG00000045629
5	ENSMUSG00000045790
5	ENSMUSG00000045975
5	ENSMUSG00000047221
5	ENSMUSG00000047419
5	ENSMUSG00000048232
5	ENSMUSG00000049281
5	ENSMUSG00000049516
5	ENSMUSG00000049739
5	ENSMUSG00000050919
