cluster	gene
4	ENSMUSG00000037827
4	ENSMUSG00000038244
4	ENSMUSG00000040260
4	ENSMUSG00000040323
4	ENSMUSG00000040612
4	ENSMUSG00000041975
4	ENSMUSG00000043456
4	ENSMUSG00000043463
4	ENSMUSG00000043670
4	ENSMUSG00000043719
4	ENSMUSG00000044285
4	ENSMUSG00000046634
4	ENSMUSG00000047953
4	ENSMUSG00000049699
4	ENSMUSG00000052296
4	ENSMUSG00000053965
4	ENSMUSG00000058922
4	ENSMUSG00000061322
4	ENSMUSG00000066687
4	ENSMUSG00000067878
4	ENSMUSG00000068747
4	ENSMUSG00000069014
4	ENSMUSG00000069515
4	ENSMUSG00000071661
4	ENSMUSG00000079038
4	ENSMUSG00000079243
4	ENSMUSG00000080268
4	ENSMUSG00000081406
4	ENSMUSG00000082361
4	ENSMUSG00000083405
4	ENSMUSG00000090958
4	ENSMUSG00000096795
4	ENSMUSG00000101645
4	ENSMUSG00000102440
4	ENSMUSG00000103034
5	ENSMUSG00000001150
5	ENSMUSG00000002020
5	ENSMUSG00000002343
5	ENSMUSG00000002831
5	ENSMUSG00000003226
5	ENSMUSG00000003660
5	ENSMUSG00000004698
5	ENSMUSG00000004892
5	ENSMUSG00000005611
5	ENSMUSG00000005871
5	ENSMUSG00000006576
5	ENSMUSG00000010122
5	ENSMUSG00000012519
5	ENSMUSG00000017631
5	ENSMUSG00000018604
5	ENSMUSG00000019359
5	ENSMUSG00000019732
5	ENSMUSG00000019820
5	ENSMUSG00000019984
5	ENSMUSG00000021071
5	ENSMUSG00000021277
5	ENSMUSG00000021375
5	ENSMUSG00000021720
5	ENSMUSG00000021823
5	ENSMUSG00000022195
5	ENSMUSG00000022790
5	ENSMUSG00000022871
5	ENSMUSG00000022893
5	ENSMUSG00000024049
5	ENSMUSG00000024261
5	ENSMUSG00000024451
5	ENSMUSG00000024900
5	ENSMUSG00000026077
5	ENSMUSG00000026692
5	ENSMUSG00000026822
5	ENSMUSG00000027716
5	ENSMUSG00000028150
5	ENSMUSG00000028468
5	ENSMUSG00000028532
5	ENSMUSG00000028555
5	ENSMUSG00000029174
5	ENSMUSG00000030068
5	ENSMUSG00000030107
5	ENSMUSG00000030515
5	ENSMUSG00000030811
5	ENSMUSG00000031111
5	ENSMUSG00000031328
5	ENSMUSG00000032115
5	ENSMUSG00000032289
5	ENSMUSG00000032480
5	ENSMUSG00000032777
5	ENSMUSG00000032890
5	ENSMUSG00000033306
5	ENSMUSG00000033453
5	ENSMUSG00000033623
5	ENSMUSG00000034171
5	ENSMUSG00000034731
5	ENSMUSG00000034906
5	ENSMUSG00000034926
5	ENSMUSG00000035181
5	ENSMUSG00000035864
5	ENSMUSG00000035948
5	ENSMUSG00000036061
5	ENSMUSG00000036208
5	ENSMUSG00000036923
5	ENSMUSG00000037709
5	ENSMUSG00000037999
5	ENSMUSG00000038170
5	ENSMUSG00000038473
5	ENSMUSG00000038718
5	ENSMUSG00000039470
5	ENSMUSG00000039929
5	ENSMUSG00000040537
5	ENSMUSG00000042046
5	ENSMUSG00000042190
5	ENSMUSG00000042607
5	ENSMUSG00000042644
5	ENSMUSG00000044576
5	ENSMUSG00000046410
5	ENSMUSG00000046591
5	ENSMUSG00000046908
5	ENSMUSG00000048232
5	ENSMUSG00000049516
5	ENSMUSG00000049553
5	ENSMUSG00000050315
5	ENSMUSG00000050505
5	ENSMUSG00000050677
5	ENSMUSG00000050919
5	ENSMUSG00000051278
5	ENSMUSG00000051341
5	ENSMUSG00000051648
5	ENSMUSG00000051977
5	ENSMUSG00000052504
5	ENSMUSG00000053461
5	ENSMUSG00000054203
5	ENSMUSG00000056900
5	ENSMUSG00000057722
5	ENSMUSG00000058740
5	ENSMUSG00000060735
5	ENSMUSG00000061894
5	ENSMUSG00000066113
5	ENSMUSG00000067206
5	ENSMUSG00000067928
5	ENSMUSG00000068115
5	ENSMUSG00000069227
5	ENSMUSG00000071036
5	ENSMUSG00000071047
5	ENSMUSG00000073557
5	ENSMUSG00000073700
5	ENSMUSG00000074004
5	ENSMUSG00000074384
5	ENSMUSG00000078684
5	ENSMUSG00000078937
5	ENSMUSG00000079020
5	ENSMUSG00000079362
5	ENSMUSG00000080859
5	ENSMUSG00000090035
5	ENSMUSG00000091387
5	ENSMUSG00000091478
5	ENSMUSG00000092329
5	ENSMUSG00000098428
5	ENSMUSG00000099032
6	ENSMUSG00000000037
6	ENSMUSG00000001985
6	ENSMUSG00000002032
6	ENSMUSG00000003435
6	ENSMUSG00000004508
6	ENSMUSG00000004677
6	ENSMUSG00000004815
6	ENSMUSG00000007817
6	ENSMUSG00000009394
6	ENSMUSG00000013483
6	ENSMUSG00000015750
6	ENSMUSG00000015944
6	ENSMUSG00000016128
6	ENSMUSG00000017453
6	ENSMUSG00000020576
6	ENSMUSG00000020741
6	ENSMUSG00000020747
6	ENSMUSG00000020788
6	ENSMUSG00000021032
6	ENSMUSG00000021364
6	ENSMUSG00000022801
6	ENSMUSG00000023977
6	ENSMUSG00000024066
6	ENSMUSG00000024251
6	ENSMUSG00000024542
6	ENSMUSG00000024978
6	ENSMUSG00000025092
6	ENSMUSG00000025241
6	ENSMUSG00000025266
6	ENSMUSG00000025324
6	ENSMUSG00000025885
6	ENSMUSG00000026407
6	ENSMUSG00000026764
6	ENSMUSG00000026828
6	ENSMUSG00000026924
6	ENSMUSG00000027580
6	ENSMUSG00000027650
6	ENSMUSG00000027668
6	ENSMUSG00000027678
6	ENSMUSG00000027684
6	ENSMUSG00000027875
6	ENSMUSG00000027878
6	ENSMUSG00000027983
6	ENSMUSG00000027993
6	ENSMUSG00000028246
6	ENSMUSG00000028909
6	ENSMUSG00000029009
6	ENSMUSG00000029313
6	ENSMUSG00000029547
6	ENSMUSG00000029587
6	ENSMUSG00000029708
6	ENSMUSG00000029720
6	ENSMUSG00000030084
6	ENSMUSG00000030306
6	ENSMUSG00000030393
6	ENSMUSG00000030816
6	ENSMUSG00000030921
6	ENSMUSG00000031385
6	ENSMUSG00000031431
6	ENSMUSG00000031574
6	ENSMUSG00000031870
6	ENSMUSG00000032198
6	ENSMUSG00000032338
6	ENSMUSG00000032548
6	ENSMUSG00000032911
6	ENSMUSG00000033039
6	ENSMUSG00000033396
6	ENSMUSG00000033792
6	ENSMUSG00000033902
6	ENSMUSG00000033981
6	ENSMUSG00000034055
6	ENSMUSG00000034126
6	ENSMUSG00000034354
6	ENSMUSG00000034525
6	ENSMUSG00000034573
6	ENSMUSG00000034684
6	ENSMUSG00000035164
6	ENSMUSG00000035969
6	ENSMUSG00000036298
6	ENSMUSG00000036529
6	ENSMUSG00000036553
6	ENSMUSG00000036568
6	ENSMUSG00000036826
6	ENSMUSG00000037110
6	ENSMUSG00000037415
6	ENSMUSG00000037486
6	ENSMUSG00000038077
6	ENSMUSG00000038637
6	ENSMUSG00000038766
6	ENSMUSG00000038970
6	ENSMUSG00000039414
6	ENSMUSG00000039473
6	ENSMUSG00000039512
6	ENSMUSG00000039523
6	ENSMUSG00000039620
6	ENSMUSG00000039662
6	ENSMUSG00000039959
6	ENSMUSG00000040102
6	ENSMUSG00000040152
6	ENSMUSG00000040329
6	ENSMUSG00000040433
6	ENSMUSG00000040506
6	ENSMUSG00000040543
6	ENSMUSG00000040648
6	ENSMUSG00000040697
6	ENSMUSG00000040829
6	ENSMUSG00000041037
6	ENSMUSG00000041229
6	ENSMUSG00000041341
6	ENSMUSG00000041479
6	ENSMUSG00000041528
6	ENSMUSG00000041828
6	ENSMUSG00000041949
6	ENSMUSG00000042029
6	ENSMUSG00000042129
6	ENSMUSG00000043940
6	ENSMUSG00000044139
6	ENSMUSG00000044447
6	ENSMUSG00000045790
6	ENSMUSG00000046380
6	ENSMUSG00000047036
6	ENSMUSG00000047040
6	ENSMUSG00000047419
6	ENSMUSG00000047746
6	ENSMUSG00000049739
6	ENSMUSG00000049985
6	ENSMUSG00000051067
6	ENSMUSG00000051339
6	ENSMUSG00000052934
6	ENSMUSG00000053469
6	ENSMUSG00000053646
6	ENSMUSG00000054293
6	ENSMUSG00000054648
6	ENSMUSG00000055301
6	ENSMUSG00000058230
6	ENSMUSG00000058325
6	ENSMUSG00000058498
6	ENSMUSG00000068299
6	ENSMUSG00000070733
6	ENSMUSG00000070738
6	ENSMUSG00000071856
6	ENSMUSG00000073490
6	ENSMUSG00000078651
6	ENSMUSG00000084350
6	ENSMUSG00000093909
6	ENSMUSG00000096544
6	ENSMUSG00000098754
6	ENSMUSG00000101439
6	ENSMUSG00000102697
6	ENSMUSG00000102752
6	ENSMUSG00000103897
6	ENSMUSG00000104346
7	ENSMUSG00000001604
7	ENSMUSG00000001865
7	ENSMUSG00000010064
7	ENSMUSG00000015396
7	ENSMUSG00000016756
7	ENSMUSG00000019761
7	ENSMUSG00000020137
7	ENSMUSG00000022546
7	ENSMUSG00000024011
7	ENSMUSG00000024234
7	ENSMUSG00000024672
7	ENSMUSG00000025270
7	ENSMUSG00000026090
7	ENSMUSG00000026430
7	ENSMUSG00000027380
7	ENSMUSG00000029086
7	ENSMUSG00000031808
7	ENSMUSG00000034607
7	ENSMUSG00000037443
7	ENSMUSG00000038763
7	ENSMUSG00000040229
7	ENSMUSG00000041920
7	ENSMUSG00000043008
7	ENSMUSG00000043795
7	ENSMUSG00000046731
7	ENSMUSG00000051351
7	ENSMUSG00000052305
7	ENSMUSG00000061397
7	ENSMUSG00000062345
7	ENSMUSG00000067786
7	ENSMUSG00000069917
7	ENSMUSG00000069919
7	ENSMUSG00000072692
7	ENSMUSG00000073877
7	ENSMUSG00000073940
7	ENSMUSG00000079013
7	ENSMUSG00000079355
7	ENSMUSG00000079465
7	ENSMUSG00000098934
7	ENSMUSG00000101939
8	ENSMUSG00000000296
8	ENSMUSG00000001020
8	ENSMUSG00000002055
8	ENSMUSG00000002778
8	ENSMUSG00000004945
8	ENSMUSG00000005410
8	ENSMUSG00000006777
8	ENSMUSG00000010342
8	ENSMUSG00000015354
8	ENSMUSG00000017491
8	ENSMUSG00000019942
8	ENSMUSG00000020330
8	ENSMUSG00000020407
8	ENSMUSG00000021569
8	ENSMUSG00000021732
8	ENSMUSG00000022033
8	ENSMUSG00000023945
8	ENSMUSG00000024987
8	ENSMUSG00000025001
8	ENSMUSG00000025747
8	ENSMUSG00000026278
8	ENSMUSG00000026574
8	ENSMUSG00000026697
8	ENSMUSG00000026725
8	ENSMUSG00000026840
8	ENSMUSG00000027524
8	ENSMUSG00000027715
8	ENSMUSG00000027864
8	ENSMUSG00000028644
8	ENSMUSG00000029306
8	ENSMUSG00000030017
8	ENSMUSG00000031613
8	ENSMUSG00000031821
8	ENSMUSG00000032254
8	ENSMUSG00000035199
8	ENSMUSG00000038020
8	ENSMUSG00000039323
8	ENSMUSG00000039697
8	ENSMUSG00000041193
8	ENSMUSG00000041431
8	ENSMUSG00000043613
8	ENSMUSG00000044201
8	ENSMUSG00000049866
8	ENSMUSG00000050069
8	ENSMUSG00000051159
8	ENSMUSG00000051378
8	ENSMUSG00000052276
8	ENSMUSG00000056643
8	ENSMUSG00000057691
8	ENSMUSG00000063063
8	ENSMUSG00000073125
8	ENSMUSG00000094651
9	ENSMUSG00000000889
9	ENSMUSG00000001027
9	ENSMUSG00000003283
9	ENSMUSG00000004098
9	ENSMUSG00000009216
9	ENSMUSG00000015709
9	ENSMUSG00000018927
9	ENSMUSG00000019464
9	ENSMUSG00000019731
9	ENSMUSG00000020357
9	ENSMUSG00000020399
9	ENSMUSG00000021750
9	ENSMUSG00000022129
9	ENSMUSG00000022148
9	ENSMUSG00000022376
9	ENSMUSG00000024163
9	ENSMUSG00000024228
9	ENSMUSG00000024924
9	ENSMUSG00000025359
9	ENSMUSG00000026944
9	ENSMUSG00000029298
9	ENSMUSG00000029419
9	ENSMUSG00000029577
9	ENSMUSG00000030579
9	ENSMUSG00000030739
9	ENSMUSG00000032172
9	ENSMUSG00000032356
9	ENSMUSG00000032373
9	ENSMUSG00000033209
9	ENSMUSG00000033715
9	ENSMUSG00000034235
9	ENSMUSG00000034303
9	ENSMUSG00000034825
9	ENSMUSG00000034832
9	ENSMUSG00000035403
9	ENSMUSG00000036040
9	ENSMUSG00000036281
9	ENSMUSG00000036523
9	ENSMUSG00000037138
9	ENSMUSG00000037490
9	ENSMUSG00000037816
9	ENSMUSG00000038024
9	ENSMUSG00000038522
9	ENSMUSG00000038663
9	ENSMUSG00000038670
9	ENSMUSG00000040054
9	ENSMUSG00000041797
9	ENSMUSG00000042453
9	ENSMUSG00000047502
9	ENSMUSG00000048899
9	ENSMUSG00000050271
9	ENSMUSG00000051910
9	ENSMUSG00000052572
9	ENSMUSG00000054008
9	ENSMUSG00000054641
9	ENSMUSG00000054659
9	ENSMUSG00000060012
9	ENSMUSG00000061578
9	ENSMUSG00000074283
9	ENSMUSG00000074505
9	ENSMUSG00000090559
9	ENSMUSG00000094065
9	ENSMUSG00000104063
10	ENSMUSG00000005237
10	ENSMUSG00000020402
10	ENSMUSG00000021457
10	ENSMUSG00000028893
10	ENSMUSG00000030732
10	ENSMUSG00000032500
10	ENSMUSG00000036381
10	ENSMUSG00000036896
10	ENSMUSG00000036905
10	ENSMUSG00000038332
10	ENSMUSG00000042595
10	ENSMUSG00000042873
10	ENSMUSG00000059436
10	ENSMUSG00000073791
11	ENSMUSG00000004371
11	ENSMUSG00000017737
11	ENSMUSG00000020220
11	ENSMUSG00000021051
11	ENSMUSG00000022508
11	ENSMUSG00000024735
11	ENSMUSG00000024803
11	ENSMUSG00000025185
11	ENSMUSG00000025510
11	ENSMUSG00000030518
11	ENSMUSG00000036067
11	ENSMUSG00000039179
11	ENSMUSG00000045382
11	ENSMUSG00000045573
11	ENSMUSG00000046808
11	ENSMUSG00000049892
11	ENSMUSG00000050243
11	ENSMUSG00000050578
11	ENSMUSG00000050711
11	ENSMUSG00000052139
11	ENSMUSG00000058064
11	ENSMUSG00000059237
11	ENSMUSG00000070713
11	ENSMUSG00000086605
11	ENSMUSG00000094800
11	ENSMUSG00000100622
